check,raw_header,raw_value,clean_value,pass
services/source_row11/lat_deg,纬度（°）,23.0561338,23.0561338,True
services/source_row11/ground_elevation_m,海拔（m）,165,165.0,True
services/source_row11/population,本次需保障人口（人）,126,126,True
services/source_row12/node_id,服务区编号,S006,S006,True
services/source_row12/name,服务区名称,六昌、木路,六昌、木路,True
services/source_row12/lon_deg,经度（°）,109.1997836,109.1997836,True
services/source_row12/lat_deg,纬度（°）,23.007714,23.007714,True
services/source_row12/ground_elevation_m,海拔（m）,284.8,284.8,True
services/source_row12/population,本次需保障人口（人）,121,121,True
services/source_row13/node_id,服务区编号,S007,S007,True
services/source_row13/name,服务区名称,佛子、那桑、银坑,佛子、那桑、银坑,True
services/source_row13/lon_deg,经度（°）,109.1928191,109.1928191,True
services/source_row13/lat_deg,纬度（°）,23.0294186,23.0294186,True
services/source_row13/ground_elevation_m,海拔（m）,318.5,318.5,True
services/source_row13/population,本次需保障人口（人）,76,76,True
services/source_row14/node_id,服务区编号,S008,S008,True
services/source_row14/name,服务区名称,古麻、大站,古麻、大站,True
services/source_row14/lon_deg,经度（°）,109.2127472,109.2127472,True
services/source_row14/lat_deg,纬度（°）,23.0795113,23.0795113,True
services/source_row14/ground_elevation_m,海拔（m）,240.9,240.9,True
services/source_row14/population,本次需保障人口（人）,55,55,True
services/source_row15/node_id,服务区编号,S009,S009,True
services/source_row15/name,服务区名称,那龙,那龙,True
services/source_row15/lon_deg,经度（°）,109.2541424,109.2541424,True
services/source_row15/lat_deg,纬度（°）,23.0552989,23.0552989,True
services/source_row15/ground_elevation_m,海拔（m）,200,200.0,True
services/source_row15/population,本次需保障人口（人）,45,45,True
services/source_row16/node_id,服务区编号,S010,S010,True
services/source_row16/name,服务区名称,镇龙乡,镇龙乡,True
services/source_row16/lon_deg,经度（°）,109.2760168,109.2760168,True
services/source_row16/lat_deg,纬度（°）,23.0194009,23.0194009,True
services/source_row16/ground_elevation_m,海拔（m）,321.6,321.6,True
services/source_row16/population,本次需保障人口（人）,31,31,True
services/source_row17/node_id,服务区编号,S011,S011,True
services/source_row17/name,服务区名称,那从,那从,True
services/source_row17/lon_deg,经度（°）,109.2203356,109.2203356,True
services/source_row17/lat_deg,纬度（°）,23.0319231,23.0319231,True
services/source_row17/ground_elevation_m,海拔（m）,182.1,182.1,True
services/source_row17/population,本次需保障人口（人）,30,30,True
services/source_row18/node_id,服务区编号,S012,S012,True
services/source_row18/name,服务区名称,镇龙乡,镇龙乡,True
services/source_row18/lon_deg,经度（°）,109.2831357,109.2831357,True
services/source_row18/lat_deg,纬度（°）,23.054464,23.054464,True
services/source_row18/ground_elevation_m,海拔（m）,249.8,249.8,True
services/source_row18/population,本次需保障人口（人）,16,16,True
services/source_row19/node_id,服务区编号,S013,S013,True
services/source_row19/name,服务区名称,镇龙乡,镇龙乡,True
services/source_row19/lon_deg,经度（°）,109.2713839,109.2713839,True
services/source_row19/lat_deg,纬度（°）,23.0310882,23.0310882,True
services/source_row19/ground_elevation_m,海拔（m）,321.7,321.7,True
services/source_row19/population,本次需保障人口（人）,14,14,True
services/source_row20/node_id,服务区编号,S014,S014,True
services/source_row20/name,服务区名称,镇龙乡,镇龙乡,True
services/source_row20/lon_deg,经度（°）,109.2835966,109.2835966,True
services/source_row20/lat_deg,纬度（°）,23.0052097,23.0052097,True
services/source_row20/ground_elevation_m,海拔（m）,321,321.0,True
services/source_row20/population,本次需保障人口（人）,12,12,True
services/source_row21/node_id,服务区编号,S015,S015,True
services/source_row21/name,服务区名称,六造、那托、那旭,六造、那托、那旭,True
services/source_row21/lon_deg,经度（°）,109.1923786,109.1923786,True
services/source_row21/lat_deg,纬度（°）,23.0494548,23.0494548,True
services/source_row21/ground_elevation_m,海拔（m）,444.5,444.5,True
services/source_row21/population,本次需保障人口（人）,3,3,True
transport_models/source_row3/model_id,机型编号,A,A,True
transport_models/source_row3/name,机型名称,中轻载标准测试多旋翼,中轻载标准测试多旋翼,True
transport_models/source_row3/empty_mass_kg,含电池空载总质量（kg）,70,70.0,True
transport_models/source_row3/max_payload_kg,最大载货质量（kg）,25,25.0,True
transport_models/source_row3/volume_m3,可用装载体积（m³）,0.06,0.06,True
transport_models/source_row3/cruise_speed_mps,计划巡航速度（m/s）,12,12.0,True
transport_models/source_row3/empty_range_m,空载标准航程（m）,25000,25000.0,True
transport_models/source_row3/full_range_m,满载标准航程（m）,20000,20000.0,True
transport_models/source_row3/usable_energy_kwh,电池可用能量（kWh）,4.5,4.5,True
transport_models/source_row3/reserve_percent,返航电量下限（%）,20,20.0,True
transport_models/source_row3/prepare_s,工位固定准备时间（s）,300,300.0,True
transport_models/source_row3/load_per_box_s,每箱装载时间（s）,30,30.0,True
transport_models/source_row3/handoff_base_s,接收点基础交接时间（s）,150,150.0,True
transport_models/source_row3/handoff_per_box_s,每箱增加交接时间（s）,30,30.0,True
transport_models/source_row3/climb_speed_mps,最大爬升速度（m/s）,3,3.0,True
transport_models/source_row3/descent_speed_mps,最大下降速度（m/s）,2.5,2.5,True
transport_models/source_row3/climb_efficiency,爬升能耗效率,0.72,0.72,True
transport_models/source_row3/descent_efficiency,下降能耗效率,0,0.0,True
transport_models/source_row4/model_id,机型编号,B,B,True
transport_models/source_row4/name,机型名称,中载标准测试多旋翼,中载标准测试多旋翼,True
transport_models/source_row4/empty_mass_kg,含电池空载总质量（kg）,65,65.0,True
transport_models/source_row4/max_payload_kg,最大载货质量（kg）,30,30.0,True
transport_models/source_row4/volume_m3,可用装载体积（m³）,0.073,0.073,True
transport_models/source_row4/cruise_speed_mps,计划巡航速度（m/s）,15,15.0,True
transport_models/source_row4/empty_range_m,空载标准航程（m）,28000,28000.0,True
transport_models/source_row4/full_range_m,满载标准航程（m）,16000,16000.0,True
transport_models/source_row4/usable_energy_kwh,电池可用能量（kWh）,4,4.0,True
transport_models/source_row4/reserve_percent,返航电量下限（%）,20,20.0,True
transport_models/source_row4/prepare_s,工位固定准备时间（s）,300,300.0,True
transport_models/source_row4/load_per_box_s,每箱装载时间（s）,30,30.0,True
transport_models/source_row4/handoff_base_s,接收点基础交接时间（s）,150,150.0,True
transport_models/source_row4/handoff_per_box_s,每箱增加交接时间（s）,30,30.0,True
transport_models/source_row4/climb_speed_mps,最大爬升速度（m/s）,3,3.0,True
transport_models/source_row4/descent_speed_mps,最大下降速度（m/s）,2.5,2.5,True
transport_models/source_row4/climb_efficiency,爬升能耗效率,0.72,0.72,True
transport_models/source_row4/descent_efficiency,下降能耗效率,0,0.0,True
transport_models/source_row5/model_id,机型编号,C,C,True
transport_models/source_row5/name,机型名称,重载标准测试多旋翼,重载标准测试多旋翼,True
transport_models/source_row5/empty_mass_kg,含电池空载总质量（kg）,69.9,69.9,True
transport_models/source_row5/max_payload_kg,最大载货质量（kg）,80,80.0,True
transport_models/source_row5/volume_m3,可用装载体积（m³）,0.25,0.25,True
transport_models/source_row5/cruise_speed_mps,计划巡航速度（m/s）,15,15.0,True
transport_models/source_row5/empty_range_m,空载标准航程（m）,26000,26000.0,True
transport_models/source_row5/full_range_m,满载标准航程（m）,12000,12000.0,True
transport_models/source_row5/usable_energy_kwh,电池可用能量（kWh）,8,8.0,True
transport_models/source_row5/reserve_percent,返航电量下限（%）,20,20.0,True
transport_models/source_row5/prepare_s,工位固定准备时间（s）,300,300.0,True
transport_models/source_row5/load_per_box_s,每箱装载时间（s）,30,30.0,True
transport_models/source_row5/handoff_base_s,接收点基础交接时间（s）,180,180.0,True
transport_models/source_row5/handoff_per_box_s,每箱增加交接时间（s）,36,36.0,True
transport_models/source_row5/climb_speed_mps,最大爬升速度（m/s）,2.5,2.5,True
transport_models/source_row5/descent_speed_mps,最大下降速度（m/s）,2,2.0,True
transport_models/source_row5/climb_efficiency,爬升能耗效率,0.72,0.72,True
transport_models/source_row5/descent_efficiency,下降能耗效率,0,0.0,True
transport_drones/source_row9/drone_id,无人机编号,U01,U01,True
transport_drones/source_row9/model_id,机型编号,A,A,True
transport_drones/source_row9/initial_node,初始位置,O01,O01,True
transport_drones/source_row10/drone_id,无人机编号,U02,U02,True
transport_drones/source_row10/model_id,机型编号,A,A,True
transport_drones/source_row10/initial_node,初始位置,O01,O01,True
transport_drones/source_row11/drone_id,无人机编号,U03,U03,True
transport_drones/source_row11/model_id,机型编号,A,A,True
transport_drones/source_row11/initial_node,初始位置,O01,O01,True
transport_drones/source_row12/drone_id,无人机编号,U04,U04,True
transport_drones/source_row12/model_id,机型编号,A,A,True
transport_drones/source_row12/initial_node,初始位置,O01,O01,True
transport_drones/source_row13/drone_id,无人机编号,U05,U05,True
transport_drones/source_row13/model_id,机型编号,B,B,True
transport_drones/source_row13/initial_node,初始位置,O01,O01,True
transport_drones/source_row14/drone_id,无人机编号,U06,U06,True
transport_drones/source_row14/model_id,机型编号,B,B,True
transport_drones/source_row14/initial_node,初始位置,O01,O01,True
transport_drones/source_row15/drone_id,无人机编号,U07,U07,True
transport_drones/source_row15/model_id,机型编号,C,C,True
transport_drones/source_row15/initial_node,初始位置,O01,O01,True
transport_drones/source_row16/drone_id,无人机编号,U08,U08,True
transport_drones/source_row16/model_id,机型编号,C,C,True
transport_drones/source_row16/initial_node,初始位置,O01,O01,True
transport_batteries/source_row20/model_id,机型编号,A,A,True
transport_batteries/source_row20/count,共享电池组总数（组）,6,6,True
transport_batteries/source_row20/full_charge_s,等效完全充电时间（s）,1800,1800.0,True
transport_batteries/source_row21/model_id,机型编号,B,B,True
transport_batteries/source_row21/count,共享电池组总数（组）,4,4,True
transport_batteries/source_row21/full_charge_s,等效完全充电时间（s）,2400,2400.0,True
transport_batteries/source_row22/model_id,机型编号,C,C,True
transport_batteries/source_row22/count,共享电池组总数（组）,4,4,True
transport_batteries/source_row22/full_charge_s,等效完全充电时间（s）,3000,3000.0,True
relay_models/source_row3/model_id,机型编号,R,R,True
relay_models/source_row3/name,机型名称,中继标准测试多旋翼,中继标准测试多旋翼,True
relay_models/source_row3/empty_mass_kg,含能源组件空载总质量（kg）,21,21.0,True
relay_models/source_row3/module_mass_kg,中继通信模块质量（kg）,2.5,2.5,True
relay_models/source_row3/takeoff_mass_kg,计划起飞总质量（kg）,23.5,23.5,True
relay_models/source_row3/cruise_speed_mps,计划巡航速度（m/s）,15,15.0,True
relay_models/source_row3/cruise_power_kw,巡航功率（kW）,1.15,1.15,True
relay_models/source_row3/usable_energy_kwh,能源组件可用能量（kWh）,3.2,3.2,True
relay_models/source_row3/reserve_percent,返航电量下限（%）,20,20.0,True
relay_models/source_row3/prepare_s,工位固定准备时间（s）,180,180.0,True
relay_models/source_row3/link_setup_s,建链时间（s）,30,30.0,True
relay_models/source_row3/turnaround_s,架次周转时间（s）,300,300.0,True
relay_models/source_row3/climb_speed_mps,最大爬升速度（m/s）,4,4.0,True
relay_models/source_row3/descent_speed_mps,最大下降速度（m/s）,3,3.0,True
relay_models/source_row3/climb_efficiency,爬升能耗效率,0.72,0.72,True
relay_models/source_row3/descent_efficiency,下降能耗效率,0,0.0,True
relay_models/source_row3/hover_power_kw,悬停功率（kW）,1.05,1.05,True
relay_models/source_row3/communication_power_kw,通信附加功率（kW）,0.05,0.05,True
relay_models/source_row3/max_hover_agl_m,最大悬停离地高度（m）,300,300.0,True
relay_drones/source_row7/drone_id,中继无人机编号,R01,R01,True
relay_drones/source_row7/model_id,机型编号,R,R,True
relay_drones/source_row7/initial_node,初始位置,O01,O01,True
relay_drones/source_row8/drone_id,中继无人机编号,R02,R02,True
relay_drones/source_row8/model_id,机型编号,R,R,True
relay_drones/source_row8/initial_node,初始位置,O01,O01,True
relay_energy/source_row12/model_id,机型编号,R,R,True
relay_energy/source_row12/count,共享能源组件总数（组）,6,6,True
relay_energy/source_row12/full_charge_s,等效完全充电时间（s）,1800,1800.0,True
demand/source_row2/service_id,服务区编号,S001,S001,True
demand/source_row2/material_type,物资类型,医疗物资,医疗物资,True
demand/source_row2/box_count,总需求箱数,2,2,True
demand/source_row2/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row2/weight_kg,单箱质量（kg）,3,3.0,True
demand/source_row2/volume_m3,单箱体积（m³）,0.012,0.012,True
demand/source_row2/priority,应急优先系数,24,24,True
demand/source_row2/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row2/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row3/service_id,服务区编号,S001,S001,True
demand/source_row3/material_type,物资类型,饮用水,饮用水,True
demand/source_row3/box_count,总需求箱数,8,8,True
demand/source_row3/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row3/weight_kg,单箱质量（kg）,14,14.0,True
demand/source_row3/volume_m3,单箱体积（m³）,0.027,0.027,True
demand/source_row3/priority,应急优先系数,12,12,True
demand/source_row3/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row3/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row4/service_id,服务区编号,S001,S001,True
demand/source_row4/material_type,物资类型,应急食品,应急食品,True
demand/source_row4/box_count,总需求箱数,3,3,True
demand/source_row4/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row4/weight_kg,单箱质量（kg）,8,8.0,True
demand/source_row4/volume_m3,单箱体积（m³）,0.028,0.028,True
demand/source_row4/priority,应急优先系数,10,10,True
demand/source_row4/first_deadline_s,首批截止时间（s）,,,True
demand/source_row4/expected_s,期望送达时间（s）,7200,7200.0,True
demand/source_row5/service_id,服务区编号,S001,S001,True
demand/source_row5/material_type,物资类型,生活卫生用品,生活卫生用品,True
demand/source_row5/box_count,总需求箱数,2,2,True
demand/source_row5/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row5/weight_kg,单箱质量（kg）,6,6.0,True
demand/source_row5/volume_m3,单箱体积（m³）,0.035,0.035,True
demand/source_row5/priority,应急优先系数,8,8,True
demand/source_row5/first_deadline_s,首批截止时间（s）,,,True
demand/source_row5/expected_s,期望送达时间（s）,10800,10800.0,True
demand/source_row6/service_id,服务区编号,S002,S002,True
demand/source_row6/material_type,物资类型,医疗物资,医疗物资,True
demand/source_row6/box_count,总需求箱数,1,1,True
demand/source_row6/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row6/weight_kg,单箱质量（kg）,3,3.0,True
demand/source_row6/volume_m3,单箱体积（m³）,0.012,0.012,True
demand/source_row6/priority,应急优先系数,24,24,True
demand/source_row6/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row6/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row7/service_id,服务区编号,S002,S002,True
demand/source_row7/material_type,物资类型,饮用水,饮用水,True
demand/source_row7/box_count,总需求箱数,4,4,True
demand/source_row7/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row7/weight_kg,单箱质量（kg）,14,14.0,True
demand/source_row7/volume_m3,单箱体积（m³）,0.027,0.027,True
demand/source_row7/priority,应急优先系数,12,12,True
demand/source_row7/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row7/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row8/service_id,服务区编号,S002,S002,True
demand/source_row8/material_type,物资类型,应急食品,应急食品,True
demand/source_row8/box_count,总需求箱数,2,2,True
demand/source_row8/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row8/weight_kg,单箱质量（kg）,8,8.0,True
demand/source_row8/volume_m3,单箱体积（m³）,0.028,0.028,True
demand/source_row8/priority,应急优先系数,10,10,True
demand/source_row8/first_deadline_s,首批截止时间（s）,,,True
demand/source_row8/expected_s,期望送达时间（s）,7200,7200.0,True
demand/source_row9/service_id,服务区编号,S002,S002,True
demand/source_row9/material_type,物资类型,生活卫生用品,生活卫生用品,True
demand/source_row9/box_count,总需求箱数,1,1,True
demand/source_row9/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row9/weight_kg,单箱质量（kg）,6,6.0,True
demand/source_row9/volume_m3,单箱体积（m³）,0.035,0.035,True
demand/source_row9/priority,应急优先系数,8,8,True
demand/source_row9/first_deadline_s,首批截止时间（s）,,,True
demand/source_row9/expected_s,期望送达时间（s）,10800,10800.0,True
demand/source_row10/service_id,服务区编号,S003,S003,True
demand/source_row10/material_type,物资类型,医疗物资,医疗物资,True
demand/source_row10/box_count,总需求箱数,1,1,True
demand/source_row10/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row10/weight_kg,单箱质量（kg）,3,3.0,True
demand/source_row10/volume_m3,单箱体积（m³）,0.012,0.012,True
demand/source_row10/priority,应急优先系数,20,20,True
demand/source_row10/first_deadline_s,首批截止时间（s）,7200,7200.0,True
demand/source_row10/expected_s,期望送达时间（s）,7200,7200.0,True
demand/source_row11/service_id,服务区编号,S003,S003,True
demand/source_row11/material_type,物资类型,饮用水,饮用水,True
demand/source_row11/box_count,总需求箱数,4,4,True
demand/source_row11/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row11/weight_kg,单箱质量（kg）,14,14.0,True
demand/source_row11/volume_m3,单箱体积（m³）,0.027,0.027,True
demand/source_row11/priority,应急优先系数,10,10,True
demand/source_row11/first_deadline_s,首批截止时间（s）,7200,7200.0,True
demand/source_row11/expected_s,期望送达时间（s）,7200,7200.0,True
demand/source_row12/service_id,服务区编号,S003,S003,True
demand/source_row12/material_type,物资类型,应急食品,应急食品,True
demand/source_row12/box_count,总需求箱数,2,2,True
demand/source_row12/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row12/weight_kg,单箱质量（kg）,8,8.0,True
demand/source_row12/volume_m3,单箱体积（m³）,0.028,0.028,True
demand/source_row12/priority,应急优先系数,8,8,True
demand/source_row12/first_deadline_s,首批截止时间（s）,,,True
demand/source_row12/expected_s,期望送达时间（s）,10800,10800.0,True
demand/source_row13/service_id,服务区编号,S003,S003,True
demand/source_row13/material_type,物资类型,生活卫生用品,生活卫生用品,True
demand/source_row13/box_count,总需求箱数,1,1,True
demand/source_row13/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row13/weight_kg,单箱质量（kg）,6,6.0,True
demand/source_row13/volume_m3,单箱体积（m³）,0.035,0.035,True
demand/source_row13/priority,应急优先系数,6,6,True
demand/source_row13/first_deadline_s,首批截止时间（s）,,,True
demand/source_row13/expected_s,期望送达时间（s）,14400,14400.0,True
demand/source_row14/service_id,服务区编号,S004,S004,True
demand/source_row14/material_type,物资类型,医疗物资,医疗物资,True
demand/source_row14/box_count,总需求箱数,1,1,True
demand/source_row14/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row14/weight_kg,单箱质量（kg）,3,3.0,True
demand/source_row14/volume_m3,单箱体积（m³）,0.012,0.012,True
demand/source_row14/priority,应急优先系数,20,20,True
demand/source_row14/first_deadline_s,首批截止时间（s）,7200,7200.0,True
demand/source_row14/expected_s,期望送达时间（s）,7200,7200.0,True
demand/source_row15/service_id,服务区编号,S004,S004,True
demand/source_row15/material_type,物资类型,饮用水,饮用水,True
demand/source_row15/box_count,总需求箱数,3,3,True
demand/source_row15/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row15/weight_kg,单箱质量（kg）,14,14.0,True
demand/source_row15/volume_m3,单箱体积（m³）,0.027,0.027,True
demand/source_row15/priority,应急优先系数,10,10,True
demand/source_row15/first_deadline_s,首批截止时间（s）,7200,7200.0,True
demand/source_row15/expected_s,期望送达时间（s）,7200,7200.0,True
demand/source_row16/service_id,服务区编号,S004,S004,True
demand/source_row16/material_type,物资类型,应急食品,应急食品,True
demand/source_row16/box_count,总需求箱数,1,1,True
demand/source_row16/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row16/weight_kg,单箱质量（kg）,8,8.0,True
demand/source_row16/volume_m3,单箱体积（m³）,0.028,0.028,True
demand/source_row16/priority,应急优先系数,8,8,True
demand/source_row16/first_deadline_s,首批截止时间（s）,,,True
demand/source_row16/expected_s,期望送达时间（s）,10800,10800.0,True
demand/source_row17/service_id,服务区编号,S004,S004,True
demand/source_row17/material_type,物资类型,生活卫生用品,生活卫生用品,True
demand/source_row17/box_count,总需求箱数,1,1,True
demand/source_row17/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row17/weight_kg,单箱质量（kg）,6,6.0,True
demand/source_row17/volume_m3,单箱体积（m³）,0.035,0.035,True
demand/source_row17/priority,应急优先系数,6,6,True
demand/source_row17/first_deadline_s,首批截止时间（s）,,,True
demand/source_row17/expected_s,期望送达时间（s）,14400,14400.0,True
demand/source_row18/service_id,服务区编号,S005,S005,True
demand/source_row18/material_type,物资类型,医疗物资,医疗物资,True
demand/source_row18/box_count,总需求箱数,1,1,True
demand/source_row18/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row18/weight_kg,单箱质量（kg）,3,3.0,True
demand/source_row18/volume_m3,单箱体积（m³）,0.012,0.012,True
demand/source_row18/priority,应急优先系数,16,16,True
demand/source_row18/first_deadline_s,首批截止时间（s）,10800,10800.0,True
demand/source_row18/expected_s,期望送达时间（s）,10800,10800.0,True
demand/source_row19/service_id,服务区编号,S005,S005,True
demand/source_row19/material_type,物资类型,饮用水,饮用水,True
demand/source_row19/box_count,总需求箱数,3,3,True
demand/source_row19/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row19/weight_kg,单箱质量（kg）,14,14.0,True
demand/source_row19/volume_m3,单箱体积（m³）,0.027,0.027,True
demand/source_row19/priority,应急优先系数,8,8,True
demand/source_row19/first_deadline_s,首批截止时间（s）,10800,10800.0,True
demand/source_row19/expected_s,期望送达时间（s）,10800,10800.0,True
demand/source_row20/service_id,服务区编号,S005,S005,True
demand/source_row20/material_type,物资类型,应急食品,应急食品,True
demand/source_row20/box_count,总需求箱数,1,1,True
demand/source_row20/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row20/weight_kg,单箱质量（kg）,8,8.0,True
demand/source_row20/volume_m3,单箱体积（m³）,0.028,0.028,True
demand/source_row20/priority,应急优先系数,6,6,True
demand/source_row20/first_deadline_s,首批截止时间（s）,,,True
demand/source_row20/expected_s,期望送达时间（s）,14400,14400.0,True
demand/source_row21/service_id,服务区编号,S005,S005,True
demand/source_row21/material_type,物资类型,生活卫生用品,生活卫生用品,True
demand/source_row21/box_count,总需求箱数,1,1,True
demand/source_row21/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row21/weight_kg,单箱质量（kg）,6,6.0,True
demand/source_row21/volume_m3,单箱体积（m³）,0.035,0.035,True
demand/source_row21/priority,应急优先系数,4,4,True
demand/source_row21/first_deadline_s,首批截止时间（s）,,,True
demand/source_row21/expected_s,期望送达时间（s）,18000,18000.0,True
demand/source_row22/service_id,服务区编号,S006,S006,True
demand/source_row22/material_type,物资类型,医疗物资,医疗物资,True
demand/source_row22/box_count,总需求箱数,1,1,True
demand/source_row22/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row22/weight_kg,单箱质量（kg）,3,3.0,True
demand/source_row22/volume_m3,单箱体积（m³）,0.012,0.012,True
demand/source_row22/priority,应急优先系数,24,24,True
demand/source_row22/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row22/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row23/service_id,服务区编号,S006,S006,True
demand/source_row23/material_type,物资类型,饮用水,饮用水,True
demand/source_row23/box_count,总需求箱数,3,3,True
demand/source_row23/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row23/weight_kg,单箱质量（kg）,14,14.0,True
demand/source_row23/volume_m3,单箱体积（m³）,0.027,0.027,True
demand/source_row23/priority,应急优先系数,12,12,True
demand/source_row23/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row23/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row24/service_id,服务区编号,S006,S006,True
demand/source_row24/material_type,物资类型,应急食品,应急食品,True
demand/source_row24/box_count,总需求箱数,1,1,True
demand/source_row24/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row24/weight_kg,单箱质量（kg）,8,8.0,True
demand/source_row24/volume_m3,单箱体积（m³）,0.028,0.028,True
demand/source_row24/priority,应急优先系数,10,10,True
demand/source_row24/first_deadline_s,首批截止时间（s）,,,True
demand/source_row24/expected_s,期望送达时间（s）,7200,7200.0,True
demand/source_row25/service_id,服务区编号,S006,S006,True
demand/source_row25/material_type,物资类型,生活卫生用品,生活卫生用品,True
demand/source_row25/box_count,总需求箱数,1,1,True
demand/source_row25/first_batch_count,首批必须送达箱数,0,0,True
demand/source_row25/weight_kg,单箱质量（kg）,6,6.0,True
demand/source_row25/volume_m3,单箱体积（m³）,0.035,0.035,True
demand/source_row25/priority,应急优先系数,8,8,True
demand/source_row25/first_deadline_s,首批截止时间（s）,,,True
demand/source_row25/expected_s,期望送达时间（s）,10800,10800.0,True
demand/source_row26/service_id,服务区编号,S007,S007,True
demand/source_row26/material_type,物资类型,医疗物资,医疗物资,True
demand/source_row26/box_count,总需求箱数,1,1,True
demand/source_row26/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row26/weight_kg,单箱质量（kg）,3,3.0,True
demand/source_row26/volume_m3,单箱体积（m³）,0.012,0.012,True
demand/source_row26/priority,应急优先系数,24,24,True
demand/source_row26/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row26/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row27/service_id,服务区编号,S007,S007,True
demand/source_row27/material_type,物资类型,饮用水,饮用水,True
demand/source_row27/box_count,总需求箱数,2,2,True
demand/source_row27/first_batch_count,首批必须送达箱数,1,1,True
demand/source_row27/weight_kg,单箱质量（kg）,14,14.0,True
demand/source_row27/volume_m3,单箱体积（m³）,0.027,0.027,True
demand/source_row27/priority,应急优先系数,12,12,True
demand/source_row27/first_deadline_s,首批截止时间（s）,3600,3600.0,True
demand/source_row27/expected_s,期望送达时间（s）,3600,3600.0,True
demand/source_row28/service_id,服务区编号,S007,S007,True
