box_id,service_id,material_type,weight_kg,volume_m3,first_batch_text,first_deadline_s,expected_s,priority,source_workbook,source_sheet,source_excel_row,is_first_batch,has_first_deadline
S012-WAT-01,S012,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,71,True,True
S012-FOD-01,S012,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,72,False,False
S013-MED-01,S013,医疗物资,3.0,0.012,是,3600.0,3600.0,24,物资需求与配送时限.xlsx,逐箱货箱清单,73,True,True
S013-WAT-01,S013,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,74,True,True
S013-FOD-01,S013,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,75,False,False
S014-MED-01,S014,医疗物资,3.0,0.012,是,3600.0,7200.0,22,物资需求与配送时限.xlsx,逐箱货箱清单,76,True,True
S014-WAT-01,S014,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,77,True,True
S014-FOD-01,S014,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,78,False,False
S015-MED-01,S015,医疗物资,3.0,0.012,是,7200.0,7200.0,18,物资需求与配送时限.xlsx,逐箱货箱清单,79,True,True
S015-WAT-01,S015,饮用水,14.0,0.027,是,10800.0,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,80,True,True
S015-FOD-01,S015,应急食品,8.0,0.028,否,,14400.0,6,物资需求与配送时限.xlsx,逐箱货箱清单,81,False,False
