table,field,data_type,unit,null_count,note
transport_models,usable_energy_kwh,float,kWh,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,reserve_percent,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,prepare_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,load_per_box_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,handoff_base_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,handoff_per_box_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,climb_speed_mps,float,m/s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,descent_speed_mps,float,m/s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,climb_efficiency,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,descent_efficiency,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,reserve_fraction,float,0–1,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_drones,drone_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_drones,model_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_drones,initial_node,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_drones,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_drones,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_drones,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_batteries,model_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_batteries,count,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_batteries,full_charge_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_batteries,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_batteries,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_batteries,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,model_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,name,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,empty_mass_kg,float,kg,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,module_mass_kg,float,kg,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,takeoff_mass_kg,float,kg,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,cruise_speed_mps,float,m/s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,cruise_power_kw,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,usable_energy_kwh,float,kWh,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,reserve_percent,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,prepare_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,link_setup_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,turnaround_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,climb_speed_mps,float,m/s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,descent_speed_mps,float,m/s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,climb_efficiency,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,descent_efficiency,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,hover_power_kw,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,communication_power_kw,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,max_hover_agl_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_models,reserve_fraction,float,0–1,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_drones,drone_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_drones,model_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_drones,initial_node,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_drones,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_drones,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_drones,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_energy,model_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_energy,count,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_energy,full_charge_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_energy,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_energy,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
relay_energy,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,service_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,material_type,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,box_count,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,first_batch_count,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,weight_kg,float,kg,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,volume_m3,float,m³,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,priority,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,first_deadline_s,float,s,23,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,expected_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
demand,has_first_deadline,bool,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,box_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,service_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,material_type,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,weight_kg,float,kg,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,volume_m3,float,m³,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,first_batch_text,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,first_deadline_s,float,s,50,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,expected_s,float,s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,priority,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,is_first_batch,bool,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
boxes,has_first_deadline,bool,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
communication,category,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
communication,parameter,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
communication,symbol,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
communication,value,float,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
communication,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
communication,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
communication,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,node_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,name,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,lon_deg,float,degree,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,lat_deg,float,degree,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,ground_elevation_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,role,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,population,int,not_applicable_or_label,1,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,dem_at_node_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,elevation_difference_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,x_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,y_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,dem_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,dem_col,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
nodes,work_altitude_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
