F001 第一问：调度中心与单点往返航线
F161 Q3-T-016：完成站点交接后的剩余载荷
F162 Q3-T-016：全飞行与交接区间通信切换
F163 Q3-T-016：与能源、通信对齐的飞行剖面
已生成 163 幅原生数据图，用时 77.6s
{
  "scope": "本轮原生绘图、数值聚合和文件继承验证；未重新求解优化器，也不替代原物理可行性证书。",
  "checks": 2440,
  "failed": 0,
  "failures": [],
  "source_F148_grid_points": 4941,
  "max_surface_error_kwh": 2.6645352591003757e-15
}
Rc files read:
  .latexmkrc
Latexmk: This is Latexmk, John Collins, 11 Dec. 2024. Version 4.86.
Latexmk: applying rule 'xelatex'...
Rule 'xelatex':  Reasons for rerun
Changed files or newly in use/created:
  figures/F002.pdf
  figures/F007.pdf
  figures/F010.pdf
  figures/F012.pdf
  figures/F027.pdf
  figures/F046.pdf
  figures/F049.pdf
  figures/F050.pdf
  figures/F051.pdf
  figures/F053.pdf
  figures/F063.pdf
  figures/F064.pdf
  figures/F077.pdf
  figures/F078.pdf
  figures/F079.pdf
  figures/F082.pdf
  figures/F099.pdf
  figures/F109.pdf
  figures/F112.pdf
  figures/F113.pdf
  figures/F117.pdf
  figures/F118.pdf
  figures/F128.pdf
  figures/F135.pdf
  figures/F138.pdf
  figures/F139.pdf
  figures/F142.pdf
  figures/F144.pdf
  figures/F147.pdf
Category 'changed_user':
  figures/F002.pdf
  figures/F007.pdf
  figures/F010.pdf
  figures/F012.pdf
  figures/F027.pdf
  figures/F046.pdf
  figures/F049.pdf
  figures/F050.pdf
  figures/F051.pdf
  figures/F053.pdf
  figures/F063.pdf
  figures/F064.pdf
  figures/F077.pdf
  figures/F078.pdf
  figures/F079.pdf
  figures/F082.pdf
  figures/F099.pdf
  figures/F109.pdf
  figures/F112.pdf
  figures/F113.pdf
  figures/F117.pdf
  figures/F118.pdf
  figures/F128.pdf
  figures/F135.pdf
  figures/F138.pdf
  figures/F139.pdf
  figures/F142.pdf
  figures/F144.pdf
  figures/F147.pdf

------------
Run number 1 of rule 'xelatex'
------------
------------
Running 'xelatex -synctex=1 -interaction=nonstopmode -file-line-error -no-pdf -interaction=nonstopmode -halt-on-error -recorder  "main.tex"'
------------
This is XeTeX, Version 3.141592653-2.6-0.999996 (TeX Live 2025/dev/Debian) (preloaded format=xelatex)
 restricted \write18 enabled.
entering extended mode
(./main.tex
LaTeX2e <2024-11-01> patch level 2
L3 programming layer <2025-01-18>
(./my_paper.cls
Document Class: my_paper 2026/09/23 Compatibility class for supplied text templ
ate
) (/usr/share/texlive/texmf-dist/tex/latex/ctex/ctexart.cls
(/usr/share/texlive/texmf-dist/tex/latex/ctex/config/ctexbackend.cfg)
(/usr/share/texlive/texmf-dist/tex/latex/l3kernel/expl3.sty
(/usr/share/texlive/texmf-dist/tex/latex/l3backend/l3backend-xetex.def))
Document Class: ctexart 2022/07/14 v2.5.10 Chinese adapter for class article (C
TEX)
(/usr/share/texlive/texmf-dist/tex/latex/ctex/ctexhook.sty)
(/usr/share/texlive/texmf-dist/tex/latex/ctex/ctexpatch.sty)
(/usr/share/texlive/texmf-dist/tex/latex/base/fix-cm.sty
(/usr/share/texlive/texmf-dist/tex/latex/base/ts1enc.def))
(/usr/share/texlive/texmf-dist/tex/latex/ctex/config/ctexopts.cfg)
(/usr/share/texlive/texmf-dist/tex/latex/base/article.cls
Document Class: article 2024/06/29 v1.4n Standard LaTeX document class
(/usr/share/texlive/texmf-dist/tex/latex/base/size12.clo))
(/usr/share/texlive/texmf-dist/tex/latex/ctex/engine/ctex-engine-xetex.def
(/usr/share/texlive/texmf-dist/tex/xelatex/xecjk/xeCJK.sty
(/usr/share/texlive/texmf-dist/tex/latex/l3packages/xtemplate/xtemplate.sty)
(/usr/share/texlive/texmf-dist/tex/latex/fontspec/fontspec.sty
(/usr/share/texlive/texmf-dist/tex/latex/l3packages/xparse/xparse.sty)
(/usr/share/texlive/texmf-dist/tex/latex/fontspec/fontspec-xetex.sty
(/usr/share/texlive/texmf-dist/tex/latex/base/fontenc.sty)
(/usr/share/texlive/texmf-dist/tex/latex/fontspec/fontspec.cfg)))
(/usr/share/texlive/texmf-dist/tex/xelatex/xecjk/xeCJK.cfg)))
(/usr/share/texlive/texmf-dist/tex/latex/zhnumber/zhnumber.sty
(/usr/share/texlive/texmf-dist/tex/latex/zhnumber/zhnumber-utf8.cfg))
(/usr/share/texlive/texmf-dist/tex/latex/ctex/scheme/ctex-scheme-chinese-articl
e.def (/usr/share/texlive/texmf-dist/tex/latex/ctex/config/ctex-name-utf8.cfg))
 (/usr/share/texlive/texmf-dist/tex/latex/ctex/ctex-cs4size.clo)
(/usr/share/texlive/texmf-dist/tex/latex/ctex/fontset/ctex-fontset-fandol.def))
 (/usr/share/texlive/texmf-dist/tex/latex/ctex/config/ctex.cfg)
(/usr/share/texlive/texmf-dist/tex/latex/geometry/geometry.sty
(/usr/share/texlive/texmf-dist/tex/latex/graphics/keyval.sty)
(/usr/share/texlive/texmf-dist/tex/generic/iftex/ifvtex.sty
(/usr/share/texlive/texmf-dist/tex/generic/iftex/iftex.sty)))
(/usr/share/texlive/texmf-dist/tex/latex/amsmath/amsmath.sty
For additional information on amsmath, use the `?' option.
(/usr/share/texlive/texmf-dist/tex/latex/amsmath/amstext.sty
(/usr/share/texlive/texmf-dist/tex/latex/amsmath/amsgen.sty))
(/usr/share/texlive/texmf-dist/tex/latex/amsmath/amsbsy.sty)
(/usr/share/texlive/texmf-dist/tex/latex/amsmath/amsopn.sty))
(/usr/share/texlive/texmf-dist/tex/latex/amsfonts/amssymb.sty
(/usr/share/texlive/texmf-dist/tex/latex/amsfonts/amsfonts.sty))
(/usr/share/texlive/texmf-dist/tex/latex/amscls/amsthm.sty)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/newtxtext.sty
`newtxtext' v1.744, 2024/04/01 Text macros taking advantage of TeXGyre Termes a
nd its extensions (msharpe)
(/usr/share/texlive/texmf-dist/tex/latex/xpatch/xpatch.sty
(/usr/share/texlive/texmf-dist/tex/latex/etoolbox/etoolbox.sty))
(/usr/share/texlive/texmf-dist/tex/latex/xcolor/xcolor.sty
(/usr/share/texlive/texmf-dist/tex/latex/graphics-cfg/color.cfg)
(/usr/share/texlive/texmf-dist/tex/latex/graphics-def/xetex.def)
(/usr/share/texlive/texmf-dist/tex/latex/graphics/mathcolor.ltx))
(/usr/share/texlive/texmf-dist/tex/latex/xkeyval/xkeyval.sty
(/usr/share/texlive/texmf-dist/tex/generic/xkeyval/xkeyval.tex
(/usr/share/texlive/texmf-dist/tex/generic/xkeyval/xkvutils.tex)))
(/usr/share/texlive/texmf-dist/tex/latex/base/textcomp.sty)
(/usr/share/texlive/texmf-dist/tex/generic/xstring/xstring.sty
(/usr/share/texlive/texmf-dist/tex/generic/xstring/xstring.tex))
(/usr/share/texlive/texmf-dist/tex/latex/base/ifthen.sty)
(/usr/share/texlive/texmf-dist/tex/latex/carlisle/scalefnt.sty)
(/usr/share/texlive/texmf-dist/tex/generic/kastrup/binhex.tex))
(/usr/share/texlive/texmf-dist/tex/latex/newtx/newtxmath.sty
`newtxmath' v1.754, 2024/09/22 Math macros based originally on txfonts (msharpe
) (/usr/share/texlive/texmf-dist/tex/latex/oberdiek/centernot.sty)
(/usr/share/texlive/texmf-dist/tex/generic/kastrup/binhex.tex)
amsthm NOT loaded
) (/usr/share/texlive/texmf-dist/tex/latex/colortbl/colortbl.sty
(/usr/share/texlive/texmf-dist/tex/latex/tools/array.sty))
(/usr/share/texlive/texmf-dist/tex/latex/graphics/dvipsnam.def)
(/usr/share/texlive/texmf-dist/tex/latex/graphics/graphicx.sty
(/usr/share/texlive/texmf-dist/tex/latex/graphics/graphics.sty
(/usr/share/texlive/texmf-dist/tex/latex/graphics/trig.sty)
(/usr/share/texlive/texmf-dist/tex/latex/graphics-cfg/graphics.cfg)))
(/usr/share/texlive/texmf-dist/tex/latex/booktabs/booktabs.sty)
(/usr/share/texlive/texmf-dist/tex/latex/tools/longtable.sty)
(/usr/share/texlive/texmf-dist/tex/latex/tools/tabularx.sty)
(/usr/share/texlive/texmf-dist/tex/latex/multirow/multirow.sty)
(/usr/share/texlive/texmf-dist/tex/latex/float/float.sty)
(/usr/share/texlive/texmf-dist/tex/latex/setspace/setspace.sty)
(/usr/share/texlive/texmf-dist/tex/latex/pdfpages/pdfpages.sty
(/usr/share/texlive/texmf-dist/tex/latex/tools/calc.sty)
(/usr/share/texlive/texmf-dist/tex/latex/eso-pic/eso-pic.sty)
(/usr/share/texlive/texmf-dist/tex/latex/pdfpages/ppxetex.def))
(/usr/share/texlive/texmf-dist/tex/latex/listings/listings.sty
(/usr/share/texlive/texmf-dist/tex/latex/listings/lstpatch.sty)
(/usr/share/texlive/texmf-dist/tex/latex/listings/lstmisc.sty)
(/usr/share/texlive/texmf-dist/tex/latex/listings/listings.cfg))
(/usr/share/texlive/texmf-dist/tex/xelatex/xecjk/xeCJK-listings.sty)
(/usr/share/texlive/texmf-dist/tex/latex/algorithms/algorithm.sty)
(/usr/share/texlive/texmf-dist/tex/latex/algorithmicx/algpseudocode.sty
(/usr/share/texlive/texmf-dist/tex/latex/algorithmicx/algorithmicx.sty
Document Style algorithmicx 1.2 - a greatly improved `algorithmic' style
)
Document Style - pseudocode environments for use with the `algorithmicx' style
) (/usr/share/texlive/texmf-dist/tex/latex/placeins/placeins.sty)
(/usr/share/texlive/texmf-dist/tex/latex/caption/caption.sty
(/usr/share/texlive/texmf-dist/tex/latex/caption/caption3.sty)
(/usr/share/texlive/texmf-dist/tex/latex/caption/ltcaption.sty))
(/usr/share/texlive/texmf-dist/tex/latex/enumitem/enumitem.sty)
(/usr/share/texlive/texmf-dist/tex/latex/xurl/xurl.sty
(/usr/share/texlive/texmf-dist/tex/latex/url/url.sty))
(/usr/share/texlive/texmf-dist/tex/latex/hyperref/hyperref.sty
(/usr/share/texlive/texmf-dist/tex/latex/kvsetkeys/kvsetkeys.sty)
(/usr/share/texlive/texmf-dist/tex/generic/kvdefinekeys/kvdefinekeys.sty)
(/usr/share/texlive/texmf-dist/tex/generic/pdfescape/pdfescape.sty
(/usr/share/texlive/texmf-dist/tex/generic/ltxcmds/ltxcmds.sty)
(/usr/share/texlive/texmf-dist/tex/generic/pdftexcmds/pdftexcmds.sty
(/usr/share/texlive/texmf-dist/tex/generic/infwarerr/infwarerr.sty)))
(/usr/share/texlive/texmf-dist/tex/latex/hycolor/hycolor.sty)
(/usr/share/texlive/texmf-dist/tex/latex/hyperref/nameref.sty
(/usr/share/texlive/texmf-dist/tex/latex/refcount/refcount.sty)
(/usr/share/texlive/texmf-dist/tex/generic/gettitlestring/gettitlestring.sty
(/usr/share/texlive/texmf-dist/tex/latex/kvoptions/kvoptions.sty)))
(/usr/share/texlive/texmf-dist/tex/generic/stringenc/stringenc.sty)
(/usr/share/texlive/texmf-dist/tex/latex/hyperref/pd1enc.def)
(/usr/share/texlive/texmf-dist/tex/generic/intcalc/intcalc.sty)
(/usr/share/texlive/texmf-dist/tex/latex/hyperref/puenc.def)
(/usr/share/texlive/texmf-dist/tex/generic/bitset/bitset.sty
(/usr/share/texlive/texmf-dist/tex/generic/bigintcalc/bigintcalc.sty))
(/usr/share/texlive/texmf-dist/tex/latex/base/atbegshi-ltx.sty))
(/usr/share/texlive/texmf-dist/tex/latex/hyperref/hxetex.def
(/usr/share/texlive/texmf-dist/tex/latex/rerunfilecheck/rerunfilecheck.sty
(/usr/share/texlive/texmf-dist/tex/latex/base/atveryend-ltx.sty)
(/usr/share/texlive/texmf-dist/tex/generic/uniquecounter/uniquecounter.sty)))
(/usr/share/texlive/texmf-dist/tex/latex/bookmark/bookmark.sty
(/usr/share/texlive/texmf-dist/tex/latex/bookmark/bkm-dvipdfm.def))
(/usr/share/texlive/texmf-dist/tex/latex/listings/lstlang1.sty)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/TeXGyreTermesX.fontspec)
(./main.aux) (/usr/share/texlive/texmf-dist/tex/latex/newtx/omlntxmi.fd)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/untxexa.fd)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/lmsntxsy.fd)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/lmxntxexx.fd)
*geometry* driver: auto-detecting
*geometry* detected driver: xetex
(/usr/share/texlive/texmf-dist/tex/latex/pdflscape/pdflscape.sty
(/usr/share/texlive/texmf-dist/tex/latex/pdflscape/pdflscape-nometadata.sty
(/usr/share/texlive/texmf-dist/tex/latex/graphics/lscape.sty)))
(/usr/share/texlive/texmf-dist/tex/latex/newtx/ot1minntx.fd)
(/usr/share/texlive/texmf-dist/tex/latex/amsfonts/umsa.fd)
(/usr/share/texlive/texmf-dist/tex/latex/amsfonts/umsb.fd)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/untxmia.fd)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/untxsym.fd)
(/usr/share/texlive/texmf-dist/tex/latex/newtx/untxsyc.fd)
[1] (./main.toc
[2])
[3]
[4] [5]
[6]
[7]
[8]
[9]
[10]
[11]
[12]
[13]
[14]
[15]
[16]
[17]
[18]
[19]
[20] (/usr/share/texmf/tex/latex/lm/ot1lmss.fd)
[21]
[22]
[23]
[24]
[25]
[26]
[27]
[28]
[29]
[30]
[31]
[32]
[33]
[34]
[35]
[36]
[37] [38] [39] [40] [41]
(/usr/share/texlive/texmf-dist/tex/latex/listings/lstlang1.sty)
(/usr/share/texlive/texmf-dist/tex/latex/listings/lstlang1.sty)
[42]
[43]
[44]
[45]
[46] (./main.aux) )
(see the transcript file for additional information)
Output written on main.xdv (46 pages, 717160 bytes).
SyncTeX written on main.synctex.gz.
Transcript written on main.log.
Latexmk: Getting log file 'main.log'
Latexmk: Examining 'main.fls'
Latexmk: Examining 'main.log'
Latexmk: Log file says output to 'main.xdv'
Latexmk: applying rule 'xdvipdfmx'...
Rule 'xdvipdfmx':  Reasons for rerun
Changed files or newly in use/created:
  main.xdv
Category 'changed_source_rules':
  xelatex

------------
Run number 1 of rule 'xdvipdfmx'
------------
------------
Running 'xdvipdfmx -E -o "main.pdf"  "main.xdv"'
------------
main.xdv -> main.pdf
[1][2][3][4][5][6][7][8][9][10][11][12][13][14][15][16][17][18][19][20][21][22][23][24][25][26][27][28][29][30][31][32][33][34][35][36][37][38][39][40][41][42][43][44][45][46]
3379874 bytes written
Latexmk: All targets (main.xdv main.pdf) are up-to-date

重绘、核验和同步完成；用时 88.3秒。
