question,common_delay_s,minimum_hard_slack_s,hard_late_boxes,expected_late_boxes,hard_feasible,scope
Q2,390,-387.67163750858435,6,7,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,400,-397.67163750858435,6,7,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,410,-407.67163750858435,6,8,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,420,-417.67163750858435,6,8,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,430,-427.67163750858435,6,8,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,440,-437.67163750858435,6,8,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,450,-447.67163750858435,7,9,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,460,-457.67163750858435,7,9,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,470,-467.67163750858435,7,9,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,480,-477.67163750858435,7,9,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,490,-487.67163750858435,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,500,-497.67163750858435,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,510,-507.67163750858435,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,520,-517.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,530,-527.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,540,-537.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,550,-547.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,560,-557.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,570,-567.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,580,-577.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,590,-587.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,600,-597.6716375085844,8,10,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,0,338.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,10,328.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,20,318.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,30,308.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,40,298.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,50,288.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,60,278.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,70,268.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,80,258.4997324874639,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,90,248.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,100,238.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,110,228.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,120,218.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,130,208.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,140,198.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,150,188.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,160,178.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,170,168.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,180,158.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,190,148.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,200,138.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,210,128.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,220,118.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,230,108.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,240,98.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,250,88.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,260,78.49973248746392,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,270,68.49973248746392,0,1,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,280,58.499732487463916,0,1,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,290,48.499732487463916,0,1,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,300,38.499732487463916,0,1,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,310,28.499732487463916,0,2,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,320,18.499732487463916,0,3,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,330,8.499732487463916,0,3,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,340,-1.5002675125360838,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,350,-11.500267512536084,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,360,-21.500267512536084,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,370,-31.500267512536084,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,380,-41.500267512536084,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,390,-51.500267512536084,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,400,-61.500267512536084,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,410,-71.50026751253608,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,420,-81.50026751253608,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,430,-91.50026751253608,1,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,440,-101.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,450,-111.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,460,-121.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,470,-131.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,480,-141.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,490,-151.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,500,-161.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,510,-171.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,520,-181.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,530,-191.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,540,-201.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,550,-211.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,560,-221.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,570,-231.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,580,-241.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,590,-251.50026751253608,2,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q3,600,-261.5002675125361,3,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
