table,field,rows,missing_count,missing_rate,missing_class,unique_values,min,q1,median,q3,max,mean,std_population,iqr_flags,mad_flags
transport_models,descent_efficiency,3,0,0.0,none,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
transport_drones,drone_id,8,0,0.0,none,8,,,,,,,,0,0
transport_drones,model_id,8,0,0.0,none,3,,,,,,,,0,0
transport_drones,initial_node,8,0,0.0,none,1,,,,,,,,0,0
transport_batteries,model_id,3,0,0.0,none,3,,,,,,,,0,0
transport_batteries,count,3,0,0.0,none,2,4.0,4.0,4.0,5.0,6.0,4.666666666666667,0.9428090415820634,0,0
transport_batteries,full_charge_s,3,0,0.0,none,3,1800.0,2100.0,2400.0,2700.0,3000.0,2400.0,489.89794855663564,0,0
relay_models,model_id,1,0,0.0,none,1,,,,,,,,0,0
relay_models,name,1,0,0.0,none,1,,,,,,,,0,0
relay_models,empty_mass_kg,1,0,0.0,none,1,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0,0
relay_models,module_mass_kg,1,0,0.0,none,1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0,0
relay_models,takeoff_mass_kg,1,0,0.0,none,1,23.5,23.5,23.5,23.5,23.5,23.5,0.0,0,0
relay_models,cruise_speed_mps,1,0,0.0,none,1,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0,0
relay_models,cruise_power_kw,1,0,0.0,none,1,1.15,1.15,1.15,1.15,1.15,1.15,0.0,0,0
relay_models,usable_energy_kwh,1,0,0.0,none,1,3.2,3.2,3.2,3.2,3.2,3.2,0.0,0,0
relay_models,reserve_percent,1,0,0.0,none,1,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0,0
relay_models,prepare_s,1,0,0.0,none,1,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0,0
relay_models,link_setup_s,1,0,0.0,none,1,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0,0
relay_models,turnaround_s,1,0,0.0,none,1,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0,0
relay_models,climb_speed_mps,1,0,0.0,none,1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0,0
relay_models,descent_speed_mps,1,0,0.0,none,1,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0,0
relay_models,climb_efficiency,1,0,0.0,none,1,0.72,0.72,0.72,0.72,0.72,0.72,0.0,0,0
relay_models,descent_efficiency,1,0,0.0,none,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
relay_models,hover_power_kw,1,0,0.0,none,1,1.05,1.05,1.05,1.05,1.05,1.05,0.0,0,0
relay_models,communication_power_kw,1,0,0.0,none,1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0,0
relay_models,max_hover_agl_m,1,0,0.0,none,1,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0,0
relay_drones,drone_id,2,0,0.0,none,2,,,,,,,,0,0
relay_drones,model_id,2,0,0.0,none,1,,,,,,,,0,0
relay_drones,initial_node,2,0,0.0,none,1,,,,,,,,0,0
relay_energy,model_id,1,0,0.0,none,1,,,,,,,,0,0
relay_energy,count,1,0,0.0,none,1,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0,0
relay_energy,full_charge_s,1,0,0.0,none,1,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0,0
demand,service_id,53,0,0.0,none,15,,,,,,,,0,0
demand,material_type,53,0,0.0,none,4,,,,,,,,0,0
demand,box_count,53,0,0.0,none,5,1.0,1.0,1.0,1.0,8.0,1.509433962264151,1.1915210116110901,0,0
demand,first_batch_count,53,0,0.0,none,2,0.0,0.0,1.0,1.0,1.0,0.5660377358490566,0.49561983156844136,0,0
demand,weight_kg,53,0,0.0,none,4,3.0,3.0,8.0,14.0,14.0,7.981132075471698,4.2270046758580575,0,0
demand,volume_m3,53,0,0.0,none,4,0.012,0.012,0.027,0.028,0.035,0.024245283018867924,0.008126141511399895,0,23
demand,priority,53,0,0.0,none,10,4.0,8.0,10.0,16.0,24.0,12.339622641509434,5.939771281494641,0,8
demand,first_deadline_s,53,23,0.4339622641509434,not_applicable,3,3600.0,3600.0,3600.0,7200.0,10800.0,6120.0,2961.3510430207357,0,0
demand,expected_s,53,0,0.0,none,5,3600.0,3600.0,7200.0,10800.0,18000.0,8354.716981132075,3815.8836874473436,0,0
boxes,box_id,80,0,0.0,none,80,,,,,,,,0,0
boxes,service_id,80,0,0.0,none,15,,,,,,,,0,0
boxes,material_type,80,0,0.0,none,4,,,,,,,,0,0
boxes,weight_kg,80,0,0.0,none,4,3.0,6.0,8.0,14.0,14.0,9.475,4.412978019433136,0,0
boxes,volume_m3,80,0,0.0,none,4,0.012,0.027,0.027,0.028,0.035,0.0251375,0.006997756336855407,25,25
boxes,first_batch_text,80,0,0.0,none,2,,,,,,,,0,0
boxes,first_deadline_s,80,50,0.625,not_applicable,3,3600.0,3600.0,3600.0,7200.0,10800.0,6120.0,2961.3510430207357,0,0
boxes,expected_s,80,0,0.0,none,5,3600.0,3600.0,7200.0,10800.0,18000.0,7515.0,3653.323829063063,0,0
boxes,priority,80,0,0.0,none,10,4.0,8.0,10.0,12.0,24.0,11.95,5.147572243300719,12,9
communication,category,14,0,0.0,none,6,,,,,,,,0,0
communication,parameter,14,0,0.0,none,8,,,,,,,,0,0
communication,symbol,14,0,0.0,none,8,,,,,,,,0,0
communication,value,14,0,0.0,none,10,-98.0,6.5,11.0,20.0,2400.0,175.57142857142858,617.6432990796218,2,2
